strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
Josiah_NC_004296_reverse_complement_2018-08-13	Mammarenavirus lassaense	S	MISSING	NC_004296	2018-08-13	MISSING	MISSING	BioProject: PRJNA485481	Auperin et al	https://www.ncbi.nlm.nih.gov/nuccore/NC_004296	Nucleotide sequence of the Lassa virus (Josiah strain) S genome RNA	Virology 168 (2), 421-425 (1989)	https://pubmed.ncbi.nlm.nih.gov/2916333
Pinneo-NIG-1969_KM822128_1969-XX-XX	Mammarenavirus lassaense	S	MISSING	KM822128	1969-XX-XX	Nigeria	Nigeria	BioProject: PRJNA254017	Andersen et al	https://www.ncbi.nlm.nih.gov/nuccore/KM822128	Whole genome-sequencing from clinical and field samples uncovers	Unpublished	MISSING
6K-2_ON569369_2023-03-22	Mammarenavirus lassaense	S	Rodents	ON569369	2023-03-22	Nigeria	Nigeria	MISSING	Eromon et al	https://www.ncbi.nlm.nih.gov/nuccore/ON569369	Zoonotic surveillance of Lassa fever virus in Nigeria	Unpublished	MISSING
OW15K-2_ON569371_2023-03-22	Mammarenavirus lassaense	S	Rodents	ON569371	2023-03-22	Nigeria	Nigeria	MISSING	Eromon et al	https://www.ncbi.nlm.nih.gov/nuccore/ON569371	Zoonotic surveillance of Lassa fever virus in Nigeria	Unpublished	MISSING
57K-2_ON569375_2023-03-22	Mammarenavirus lassaense	S	Rodents	ON569375	2023-03-22	Nigeria	Nigeria	MISSING	Eromon et al	https://www.ncbi.nlm.nih.gov/nuccore/ON569375	Zoonotic surveillance of Lassa fever virus in Nigeria	Unpublished	MISSING
63K-2_ON569379_2023-03-22	Mammarenavirus lassaense	S	Rodents	ON569379	2023-03-22	Nigeria	Nigeria	MISSING	Eromon et al	https://www.ncbi.nlm.nih.gov/nuccore/ON569379	Zoonotic surveillance of Lassa fever virus in Nigeria	Unpublished	MISSING
D501_OL774857_2003-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	OL774857	2003-XX-XX	Sierra Leone	Sierra Leone	MISSING	Ashraf et al	https://www.ncbi.nlm.nih.gov/nuccore/OL774857	Direct Submission	Submitted (04-DEC-2021) MRC Centre for Virus Research, University	MISSING
P09_282_OL774859_2009-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	OL774859	2009-XX-XX	Nigeria	Nigeria	MISSING	Ashraf et al	https://www.ncbi.nlm.nih.gov/nuccore/OL774859	Direct Submission	Submitted (04-DEC-2021) MRC Centre for Virus Research, University	MISSING
GA391_OL774861_reverse_complement_1977-XX-XX	Mammarenavirus lassaense	S	Homo sapiens	OL774861	1977-XX-XX	Nigeria	Nigeria	MISSING	Ashraf et al	https://www.ncbi.nlm.nih.gov/nuccore/OL774861	Direct Submission	Submitted (04-DEC-2021) MRC Centre for Virus Research, University	MISSING
Mali_2009_OL774863_2009-02-XX	Mammarenavirus lassaense	S	Homo sapiens	OL774863	2009-02-XX	Mali	Mali	MISSING	Ashraf et al	https://www.ncbi.nlm.nih.gov/nuccore/OL774863	Direct Submission	Submitted (04-DEC-2021) MRC Centre for Virus Research, University	MISSING
M-natalensis_SLE_2020_Barlie-00512_OM791220_2020-02-05	Mammarenavirus lassaense	S	Mastomys natalensis	OM791220	2020-02-05	Sierra Leone: Barlie	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM791220	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
M-natalensis_SLE_2020_Largo-00521_OM791222_2020-02-18	Mammarenavirus lassaense	S	Mastomys natalensis	OM791222	2020-02-18	Sierra Leone: Largo	Sierra Leone	BioProject: PRJNA780418	Ghersi et al	https://www.ncbi.nlm.nih.gov/nuccore/OM791222	Ecological investigations of the genomic diversity of Lassa virus	Unpublished	MISSING
